'CUseeMe-CUworld '		'1503, 1720, 5222, 5223, 7640, 7642, 7648, 7649 '	'1414, 1424, 1812, 1813, 7648, 24032, 56800 '
'D-Link DCS-3420 '		80	'5002, 5003 '
'D-Link DCS-5300G '		'80, 5001-5003 '	'80, 5001-5003 '
'D-Link DCS-920 '		80	' '
'Dark Ages of Camelot '		'1280, 10500, 10622 '	'1024-65535 '
'Dark and Light '		'6666, 20013 '	'6666, 20013 '
'Dark Messiah of Might and Magic Steam Client '		'27014-27050 '	'4380, 27000-27030 '
'Dark Reign 2 '		'3100, 3568, 3999, 26214 '	'3100, 3568, 3999, 26214 '
'Dartpro '		47141	47141
'Dawn of War Host '		' '	6112
'Day of Defeat Source '		'27020-27039 '	'1200, 27000-27015 '
'DCS Black Shark '		10308	10308
'DD Tournament Poker '		'11885-11889 '	'11885-11889 '
'Dead Rising 2 '		'53, 80, 443, 3074 '	'53, 88, 3074 '
'Dedicated Micros DS2 '		80	'21, 80, 8234, 8235 '
'Deer Hunter 2005 '		23458	' '
'Defcon '		' '	'5008-5011 '
'Defender SENTINEL11 '		'67, 68, 80 '	' '
'Defender SN300-4CH-001 '		80	' '
'Defender SN500-4CH '		80	' '
'Defender SN500-4CH-002 '		80	' '
'Defender SN502-4CH-002 '		'80, 9000 '	'80, 9000 '
'Delta Force '		'3100, 3999 '	'3100, 3999 '
'Delta Force 2 '		' '	'3568, 3569 '
'Delta Force Black Hawk Down '		' '	17479
'Delta Three PC to Phone '		'12053, 12083 '	'12080, 12120, 12122, 24150-24179 '
'Destroyer Command '		3000	3000
'Diablo '		'6112-6119 '	'6112-6119 '
'DiabloII '		'4000, 6112 '	'6112-6119 '
'Dialpad '		'1584, 1585, 51210 '	'51200, 51201 '
'Diamond Mind Baseball '		32158	' '
'Digi-Watcher '		5003	5003
'DINA DVR Server '		5000	' '
'DINA RMC '		'1099, 5000-5001, 8080 '	' '
'DirectX 7 '		'2300-2400, 47624 '	'2300-2400 '
'DirectX 8 '		' '	'2302-2400, 6073 '
'DirectX 8.1 '		' '	'2302-2400, 6073 '
'DMW Scanner '		'25120, 25123 '	'25120, 25123 '
'DNS2Go '		1227	1227
'Doom 3 '		'27650, 27666 '	'27650, 27666 '
'DOT.TUNES '		'9990-9999 '	' '
'Dream Match Tennis '		2319	2319
'Dues Ex '		'7790-7792, 8777 '	'7790-7792, 8777, 27900 '
'Dune 2000 '		'1140-1234, 4000 '	'1140-1234, 4000 '
'Dune2000 '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237 '
'Dungeon Siege '		' '	'2300-2400, 6073 '
'Dungeon Siege II '		' '	'2300-2400, 6073 '
'Dungeons + Dragons Online '		80	'2900-2910, 9000-9010 '
'Dwyco Video Conferencing '		'1024-5000, 6700-6702, 6880 '	'12000-16090 '
'DynGate '		'80, 5938 '	' '
'EA Download Manager '		'80, 443, 1024-1124, 9960-9969, 18000, 18120, 18060, 27900, 28910, 29900 '	'1024-1124, 18000, 29900 '
'Earth 2160 '		' '	'17771, 17172 '
'Echolink '		5200	'5198, 5199 '
'echoServer '		1328	' '
'Eclipse '		4000	4000
'Edimax IC1510Wg '		'80, 4321 '	' '
'eJAMMING AUDiiO '		' '	26900
'eJamming Station '		26900	26900
'Ekiga '		' '	'3478, 5000-5100 '
'Elite Force '		'26000, 27500, 27910, 27960 '	'26000, 27500, 27910, 27960 '
'Emperor Battle for Dune '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237 '
'Emperor Rise of the Middle Kingdom '		'15101, 15200, 15300, 15800, 20941, 25332-25333 '	25332
'Empire - Total War '		'27015, 49181 '	' '
'Empire Earth '		'33335-33336 '	33334
'Empire Earth 2 '		26000	26000
'Empire Earth The Art of Conquest Expansion '		'33335-33336 '	33334
'Empires Dawn of the Modern World '		'6500, 28900, 29900-29901, 33335 '	'13139, 27900, 33321 '
'Enemy Engaged 2 '		'2300-2400, 47624 '	'2300-2400 '
'Enemy Engaged Comanche vs. Hokum '		'2300-2400, 47624 '	'2300-2400, 47624 '
'Enemy Engaged Comanche vs. Hokum 2 '		'2300-2400, 47624 '	'2300-2400, 47624 '
'Enemy Territory - Quake Wars '		' '	'3074, 27733, 33060-33070 '
'EQOA '		' '	'10070-10080 '
'Europa Universalis III '		' '	'1630-1636 '
'Everquest '		'1024, 7000 '	'1024, 6000 '
'Everquest 2 '		'7000, 7010 '	'3016-3021, 9700-9703, 9100, 32800-33000 '
'Everquest Online Adventures '		'5190, 10000, 11000 '	'10000, 11000 '
'Evertech '		5001	5001
'Evil Islands '		8888	8888
'EvoCam '		8080	8080
'Express Invoice '		96	96
'Exteel '		'15152, 21964 '	' '
'Eyeon '		80	9001
'F-16 Mig 29 '		' '	'3862, 3863 '
'F-22 Lightning 3 '		' '	'3875, 4533, 4534, 4660-4670 '
'F-22 Raptor '		' '	'3874, 3875 '
'F.E.A.R. '		27888	27888
'F.E.A.R. Gamespy '		'3783, 6500, 6667, 28900, 29900-29901 '	'6515, 13139, 27900 '
'F1 Challenge 99-02 '		34447	'17677, 34297, 34397 '
'Faces of War '		'6667, 28910 '	'3210, 27900 '
'Falco LX-4PRO '		'67, 68, 80 '	' '
'Falcon 4 '		'2934, 2935 '	'2934, 2935 '
'Far Cry '		'49001-49002 '	'49001-49002, 49124 '
'Farming-Simulator '		10823	10823
'FastTrack '		1214	1214
'FIFA 09 PS3 '		'80, 9980-9989, 12400-12499, 30400-30499 '	'3659, 9570, 9808-9811, 9858-9861 '
'FIFA 2004 '		' '	3658
'FIFA 2005 '		' '	3658
'FIFA 2006 '		' '	3658
'FIFA 2007 '		'10400-10499 '	3658
'Fighter Ace II '		'2300-2400, 47624, 50000-50100 '	'2300-2400, 50000-50100 '
'Fighter Ace II DX '		'2300-2400, 47624, 50000-50100 '	'2300-2400, 47624, 50000-50100 '
'FileMaker Pro '		5003	5003
'FileMaker Pro 3 '		5003	5003
'FileMaker Pro 4 '		5003	5003
'FileMaker Pro 5 '		5003	5003
'FileMaker Server 3 '		5003	5003
'FileMaker Server 5 '		5003	5003
